title,description,category,languageType,mediaURL,text
Tendina,Tadi,Bahasa Nusantara,Medan,,Tendina Tadi
Dilo,Lihat,Bahasa Nusantara,Medan,,Dilo Lihat
Tung-tung,Dengar,Bahasa Nusantara,Medan,,Tung-tung Dengar
Tangi,Berdiri,Bahasa Nusantara,Medan,,Tangi Berdiri
Entong,Jangan,Bahasa Nusantara,Medan,,Entong Jangan
Gohi,Lama,Bahasa Nusantara,Medan,,Gohi Lama
Pengkih,Bau,Bahasa Nusantara,Medan,,Pengkih Bau
Ertutur,Cerita,Bahasa Nusantara,Medan,,Ertutur Cerita
Ngawan,Pikir,Bahasa Nusantara,Medan,,Ngawan Pikir
Simbelin,Cerdas,Bahasa Nusantara,Medan,,Simbelin Cerdas
Endeh,Hari ini,Bahasa Nusantara,Medan,,Endeh Hari ini
Kam,Kamu,Bahasa Nusantara,Medan,,Kam Kamu
Kap,Kapan,Bahasa Nusantara,Medan,,Kap Kapan
Perulak,Mulai,Bahasa Nusantara,Medan,,Perulak Mulai
Runggu,Ruang,Bahasa Nusantara,Medan,,Runggu Ruang
Gunung,Gunung,Bahasa Nusantara,Medan,,Gunung Gunung
Lau,Air,Bahasa Nusantara,Medan,,Lau Air
Gancang,Cepat,Bahasa Nusantara,Medan,,Gancang Cepat
Sange,Panas,Bahasa Nusantara,Medan,,Sange Panas
Sibuk,Sibuk,Bahasa Nusantara,Medan,,Sibuk Sibuk
Erjuma,Bertani,Bahasa Nusantara,Medan,,Erjuma Bertani
Perkakas,Alat,Bahasa Nusantara,Medan,,Perkakas Alat
Jabu,Rumah,Bahasa Nusantara,Medan,,Jabu Rumah
Uruk,Tebal,Bahasa Nusantara,Medan,,Uruk Tebal
Lasa,Bau,Bahasa Nusantara,Medan,,Lasa Bau
Erkayit,Bercerita,Bahasa Nusantara,Medan,,Erkayit Bercerita
Kencur,Jahe,Bahasa Nusantara,Medan,,Kencur Jahe
Erduan,Bahagia,Bahasa Nusantara,Medan,,Erduan Bahagia
Kutepi,Sisi,Bahasa Nusantara,Medan,,Kutepi Sisi
Erkatak,Berbincang,Bahasa Nusantara,Medan,,Erkatak Berbincang
Bulan,Bulan,Bahasa Nusantara,Medan,,Bulan Bulan
Matahari,Matahari,Bahasa Nusantara,Medan,,Matahari Matahari
Tawar,Asin,Bahasa Nusantara,Medan,,Tawar Asin
Singkap,Buka,Bahasa Nusantara,Medan,,Singkap Buka
Tungkus,Tumpukan,Bahasa Nusantara,Medan,,Tungkus Tumpukan
Tambar,Sehat,Bahasa Nusantara,Medan,,Tambar Sehat
Ula,Ular,Bahasa Nusantara,Medan,,Ula Ular
Sombah,Hormat,Bahasa Nusantara,Medan,,Sombah Hormat
Enteli,Mengerti,Bahasa Nusantara,Medan,,Enteli Mengerti
Lasi,Tenang,Bahasa Nusantara,Medan,,Lasi Tenang
Idahan,Mudah,Bahasa Nusantara,Medan,,Idahan Mudah
Sekolah,Sekolah,Bahasa Nusantara,Medan,,Sekolah Sekolah
Sendiri,Sendiri,Bahasa Nusantara,Medan,,Sendiri Sendiri
Peke,Pekerjaan,Bahasa Nusantara,Medan,,Peke Pekerjaan
Peci,Topi,Bahasa Nusantara,Medan,,Peci Topi
Relas,Waktu,Bahasa Nusantara,Medan,,Relas Waktu
Turang,Saudara,Bahasa Nusantara,Medan,,Turang Saudara
Erbuah,Berbuah,Bahasa Nusantara,Medan,,Erbuah Berbuah
Pangarapan,Harapan,Bahasa Nusantara,Medan,,Pangarapan Harapan
Lembu,Sapi,Bahasa Nusantara,Medan,,Lembu Sapi
Ikan,Ikan,Bahasa Nusantara,Medan,,Ikan Ikan
Cikap,Kecil,Bahasa Nusantara,Medan,,Cikap Kecil
Jarang,Jarang,Bahasa Nusantara,Medan,,Jarang Jarang
Embas,Teman,Bahasa Nusantara,Medan,,Embas Teman
Tergi,Dorong,Bahasa Nusantara,Medan,,Tergi Dorong
Ngatur,Mengatur,Bahasa Nusantara,Medan,,Ngatur Mengatur
Perang,Perang,Bahasa Nusantara,Medan,,Perang Perang
Gegoh,Ribut,Bahasa Nusantara,Medan,,Gegoh Ribut
Nangkih,Lari,Bahasa Nusantara,Medan,,Nangkih Lari
Jukur,Jauh,Bahasa Nusantara,Medan,,Jukur Jauh
Labah,Tamu,Bahasa Nusantara,Medan,,Labah Tamu
Kataken,Beri tahu,Bahasa Nusantara,Medan,,Kataken Beri tahu
Rambu,Merah,Bahasa Nusantara,Medan,,Rambu Merah
Girang,Senang,Bahasa Nusantara,Medan,,Girang Senang
Kalak,Orang,Bahasa Nusantara,Medan,,Kalak Orang
Turang,Teman akrab,Bahasa Nusantara,Medan,,Turang Teman akrab
Ula-ula,Ular kecil,Bahasa Nusantara,Medan,,Ula-ula Ular kecil
Erbahan,Bekerja sama,Bahasa Nusantara,Medan,,Erbahan Bekerja sama
Penatapan,Pemandangan,Bahasa Nusantara,Medan,,Penatapan Pemandangan
Erjurung,Mendorong,Bahasa Nusantara,Medan,,Erjurung Mendorong
Kutanta,Kampung halaman,Bahasa Nusantara,Medan,,Kutanta Kampung halaman
Cingkam,Rantai,Bahasa Nusantara,Medan,,Cingkam Rantai
Ertangis,Menangis,Bahasa Nusantara,Medan,,Ertangis Menangis
Padar,Kenyang,Bahasa Nusantara,Medan,,Padar Kenyang
Perpelangen,Perbedaan,Bahasa Nusantara,Medan,,Perpelangen Perbedaan
Perkuah,Perasaan,Bahasa Nusantara,Medan,,Perkuah Perasaan
Empatah,Bagi-bagi,Bahasa Nusantara,Medan,,Empatah Bagi-bagi
Ersada,Bersatu,Bahasa Nusantara,Medan,,Ersada Bersatu
Pedalan,Perjalanan,Bahasa Nusantara,Medan,,Pedalan Perjalanan
Janah,Juga,Bahasa Nusantara,Medan,,Janah Juga
Erkelit,Menang,Bahasa Nusantara,Medan,,Erkelit Menang
Tembok,Tembok,Bahasa Nusantara,Medan,,Tembok Tembok
Laendu,Tidak peduli,Bahasa Nusantara,Medan,,Laendu Tidak peduli
Rimbun,Tebal (tanaman),Bahasa Nusantara,Medan,,Rimbun Tebal (tanaman)
Tulan,Bantu,Bahasa Nusantara,Medan,,Tulan Bantu
Enem,Angka enam,Bahasa Nusantara,Medan,,Enem Angka enam
Sepuluh,Sepuluh,Bahasa Nusantara,Medan,,Sepuluh Sepuluh
Ukur,Panjang,Bahasa Nusantara,Medan,,Ukur Panjang
Ersikap,Bertindak,Bahasa Nusantara,Medan,,Ersikap Bertindak
Perbibin,Perempuan,Bahasa Nusantara,Medan,,Perbibin Perempuan
Ngadap,Menghadap,Bahasa Nusantara,Medan,,Ngadap Menghadap
Beru,Anak perempuan,Bahasa Nusantara,Medan,,Beru Anak perempuan
Kandu,Bekas luka,Bahasa Nusantara,Medan,,Kandu Bekas luka
Naburju,Baik hati,Bahasa Nusantara,Medan,,Naburju Baik hati
Gabuk,Lapar,Bahasa Nusantara,Medan,,Gabuk Lapar
Ertakut,Takut,Bahasa Nusantara,Medan,,Ertakut Takut
Ermulih,Pulang,Bahasa Nusantara,Medan,,Ermulih Pulang
Turangku,Adik/kakak,Bahasa Nusantara,Medan,,Turangku Adik/kakak
Merekah,Pecah,Bahasa Nusantara,Medan,,Merekah Pecah
Ndubat,Mencari,Bahasa Nusantara,Medan,,Ndubat Mencari
Rimbang,Tomat,Bahasa Nusantara,Medan,,Rimbang Tomat
Cincin,Cincin,Bahasa Nusantara,Medan,,Cincin Cincin
Langkat,Daerah Langkat,Bahasa Nusantara,Medan,,Langkat Daerah Langkat
Pitu-pitu,Tujuh,Bahasa Nusantara,Medan,,Pitu-pitu Tujuh
Sendalan,Penunjuk arah,Bahasa Nusantara,Medan,,Sendalan Penunjuk arah
Erusang,Musim hujan,Bahasa Nusantara,Medan,,Erusang Musim hujan
Pasi,Pasir,Bahasa Nusantara,Medan,,Pasi Pasir
Gunung-gunung,Pegunungan,Bahasa Nusantara,Medan,,Gunung-gunung Pegunungan
Tempa,Tempat,Bahasa Nusantara,Medan,,Tempa Tempat
Dage,Tidak enak,Bahasa Nusantara,Medan,,Dage Tidak enak
Mungkin,Mungkin,Bahasa Nusantara,Medan,,Mungkin Mungkin
Geret,Tarik,Bahasa Nusantara,Medan,,Geret Tarik
Katah,Banyak,Bahasa Nusantara,Medan,,Katah Banyak
Nulihi,Menjaga,Bahasa Nusantara,Medan,,Nulihi Menjaga
Musuh,Musuh,Bahasa Nusantara,Medan,,Musuh Musuh
Tendeh,Terang,Bahasa Nusantara,Medan,,Tendeh Terang
Gulita,Gelap,Bahasa Nusantara,Medan,,Gulita Gelap
Erbanjar,Berjejer,Bahasa Nusantara,Medan,,Erbanjar Berjejer
Langu,Lemah,Bahasa Nusantara,Medan,,Langu Lemah
Ginting,Marga Ginting,Bahasa Nusantara,Medan,,Ginting Marga Ginting
Kuta-kuta,Kota-kota,Bahasa Nusantara,Medan,,Kuta-kuta Kota-kota
Perberan,Tugas,Bahasa Nusantara,Medan,,Perberan Tugas
Kajap,Segera,Bahasa Nusantara,Medan,,Kajap Segera
Ndabuh,Pecah,Bahasa Nusantara,Medan,,Ndabuh Pecah
Perjekap,Ketegasan,Bahasa Nusantara,Medan,,Perjekap Ketegasan
Urat,Urat,Bahasa Nusantara,Medan,,Urat Urat
Pergarapan,Usaha,Bahasa Nusantara,Medan,,Pergarapan Usaha
Juma,Ladang,Bahasa Nusantara,Medan,,Juma Ladang
Cawan,Mangkuk,Bahasa Nusantara,Medan,,Cawan Mangkuk
Jaran,Kuda,Bahasa Nusantara,Medan,,Jaran Kuda
Rumah-rumah,Rumah-rumah,Bahasa Nusantara,Medan,,Rumah-rumah Rumah-rumah
Ndenggel,Tenggelam,Bahasa Nusantara,Medan,,Ndenggel Tenggelam
Kuat,Kuat,Bahasa Nusantara,Medan,,Kuat Kuat
Erjugung,Memegang,Bahasa Nusantara,Medan,,Erjugung Memegang
Marang,Lempar,Bahasa Nusantara,Medan,,Marang Lempar
Sira,Garam,Bahasa Nusantara,Medan,,Sira Garam
Turak,Bentuk,Bahasa Nusantara,Medan,,Turak Bentuk
Sibuat,Kaku,Bahasa Nusantara,Medan,,Sibuat Kaku
Batak,Batak,Bahasa Nusantara,Medan,,Batak Batak
Perumaen,Menantu,Bahasa Nusantara,Medan,,Perumaen Menantu
Erkurung,Dikepung,Bahasa Nusantara,Medan,,Erkurung Dikepung
Kayu,Kayu,Bahasa Nusantara,Medan,,Kayu Kayu
Dapur,Dapur,Bahasa Nusantara,Medan,,Dapur Dapur
Pukul,Pukul,Bahasa Nusantara,Medan,,Pukul Pukul
Mbiring,Di belakang,Bahasa Nusantara,Medan,,Mbiring Di belakang
Teges,Arti,Bahasa Nusantara,Medan,,Teges Arti
Litur,Lari kecil,Bahasa Nusantara,Medan,,Litur Lari kecil
Erpaksa,Terpaksa,Bahasa Nusantara,Medan,,Erpaksa Terpaksa
Suka,Suka,Bahasa Nusantara,Medan,,Suka Suka
Enggo,Sudah,Bahasa Nusantara,Medan,,Enggo Sudah
Empung,Mengangkat,Bahasa Nusantara,Medan,,Empung Mengangkat
Erbelin,Bertambah,Bahasa Nusantara,Medan,,Erbelin Bertambah
Enem,Enam,Bahasa Nusantara,Medan,,Enem Enam
Ngeluh,Mengeluh,Bahasa Nusantara,Medan,,Ngeluh Mengeluh
Ndikenca,Kiri,Bahasa Nusantara,Medan,,Ndikenca Kiri
Ndikanan,Kanan,Bahasa Nusantara,Medan,,Ndikanan Kanan
Geluh,Hidup,Bahasa Nusantara,Medan,,Geluh Hidup
Tandang,Berjalan,Bahasa Nusantara,Medan,,Tandang Berjalan
Laga,Bertengkar,Bahasa Nusantara,Medan,,Laga Bertengkar
Radak,Mencuri,Bahasa Nusantara,Medan,,Radak Mencuri
Pengawan,Pikiran,Bahasa Nusantara,Medan,,Pengawan Pikiran
Rebu,Awan,Bahasa Nusantara,Medan,,Rebu Awan
Katik,Hati,Bahasa Nusantara,Medan,,Katik Hati
Erban,Bersandar,Bahasa Nusantara,Medan,,Erban Bersandar
Dibata,Tuhan,Bahasa Nusantara,Medan,,Dibata Tuhan
Sukut,Suku,Bahasa Nusantara,Medan,,Sukut Suku
Kadang,Kadang-kadang,Bahasa Nusantara,Medan,,Kadang Kadang-kadang
Teman,Teman,Bahasa Nusantara,Medan,,Teman Teman
Sari,Bunga,Bahasa Nusantara,Medan,,Sari Bunga
Lau-lau,Air terjun,Bahasa Nusantara,Medan,,Lau-lau Air terjun
Padi,Padi,Bahasa Nusantara,Medan,,Padi Padi
Ternak,Ternak,Bahasa Nusantara,Medan,,Ternak Ternak
Pega,Panas,Bahasa Nusantara,Medan,,Pega Panas
Cenda,Sendiri,Bahasa Nusantara,Medan,,Cenda Sendiri
Menek,Memanjat,Bahasa Nusantara,Medan,,Menek Memanjat
Ertuwel,Menemui,Bahasa Nusantara,Medan,,Ertuwel Menemui
Lelang,Jual,Bahasa Nusantara,Medan,,Lelang Jual
Endo,Ibu,Bahasa Nusantara,Medan,,Endo Ibu
Babah,Ayah,Bahasa Nusantara,Medan,,Babah Ayah
Palang,Jembatan,Bahasa Nusantara,Medan,,Palang Jembatan
Tendang,Sepak,Bahasa Nusantara,Medan,,Tendang Sepak
Simada,Pemilik,Bahasa Nusantara,Medan,,Simada Pemilik
Taruk,Berbicara,Bahasa Nusantara,Medan,,Taruk Berbicara
Nggil,Jerit,Bahasa Nusantara,Medan,,Nggil Jerit
Lalu,Lewat,Bahasa Nusantara,Medan,,Lalu Lewat
Bulung,Daun,Bahasa Nusantara,Medan,,Bulung Daun
Kentang,Kentang,Bahasa Nusantara,Medan,,Kentang Kentang
Senina,Saudara,Bahasa Nusantara,Medan,,Senina Saudara
Pepelangen,Kemurahan,Bahasa Nusantara,Medan,,Pepelangen Kemurahan
Tengah,Tengah,Bahasa Nusantara,Medan,,Tengah Tengah
Terang,Terang,Bahasa Nusantara,Medan,,Terang Terang
Ikan emas,Ikan mas,Bahasa Nusantara,Medan,,Ikan emas Ikan mas
Pertua,Nasihat,Bahasa Nusantara,Medan,,Pertua Nasihat
Adat,Adat istiadat,Bahasa Nusantara,Medan,,Adat Adat istiadat
Berkat,Berkat,Bahasa Nusantara,Medan,,Berkat Berkat
Erbunga,Berbunga,Bahasa Nusantara,Medan,,Erbunga Berbunga
Ciptakan,Menciptakan,Bahasa Nusantara,Medan,,Ciptakan Menciptakan
Tarutung,Mangga,Bahasa Nusantara,Medan,,Tarutung Mangga
Eda,Kakak/perempuan,Bahasa Nusantara,Medan,,Eda Kakak/perempuan
Turang,Kakak/laki-laki,Bahasa Nusantara,Medan,,Turang Kakak/laki-laki
Erdeleng,Melihat,Bahasa Nusantara,Medan,,Erdeleng Melihat
Talun,Hutan,Bahasa Nusantara,Medan,,Talun Hutan
Erpanen,Panen,Bahasa Nusantara,Medan,,Erpanen Panen
Takur,Benih,Bahasa Nusantara,Medan,,Takur Benih
Sebu,Menunggu,Bahasa Nusantara,Medan,,Sebu Menunggu
Ragat,Biaya,Bahasa Nusantara,Medan,,Ragat Biaya
Reka,Mengira,Bahasa Nusantara,Medan,,Reka Mengira
Sinar,Cahaya,Bahasa Nusantara,Medan,,Sinar Cahaya
Sugi,Kaya,Bahasa Nusantara,Medan,,Sugi Kaya
Ndungun,Menunjukkan,Bahasa Nusantara,Medan,,Ndungun Menunjukkan
Selapan,Sebulan,Bahasa Nusantara,Medan,,Selapan Sebulan
Ketawur,Tertawa,Bahasa Nusantara,Medan,,Ketawur Tertawa
Tembikar,Tanah liat,Bahasa Nusantara,Medan,,Tembikar Tanah liat
Pertepian,Sisi,Bahasa Nusantara,Medan,,Pertepian Sisi
Erusur,Mengganggu,Bahasa Nusantara,Medan,,Erusur Mengganggu
Manuk,Burung,Bahasa Nusantara,Medan,,Manuk Burung
Nababa,Kesabaran,Bahasa Nusantara,Medan,,Nababa Kesabaran
Kaban,Teman baik,Bahasa Nusantara,Medan,,Kaban Teman baik
Jambu,Jambu,Bahasa Nusantara,Medan,,Jambu Jambu
Nuhu,Dengar,Bahasa Nusantara,Medan,,Nuhu Dengar
Erpaksa,Terpaksa,Bahasa Nusantara,Medan,,Erpaksa Terpaksa
Jabu-jabu,Rumah-rumah,Bahasa Nusantara,Medan,,Jabu-jabu Rumah-rumah
Las,Mudah,Bahasa Nusantara,Medan,,Las Mudah
Gelah,Supaya,Bahasa Nusantara,Medan,,Gelah Supaya
Ertoto,Berdoa,Bahasa Nusantara,Medan,,Ertoto Berdoa
Enda,Ini,Bahasa Nusantara,Medan,,Enda Ini
Sada,Satu,Bahasa Nusantara,Medan,,Sada Satu
Petiken,Diam,Bahasa Nusantara,Medan,,Petiken Diam
Ertemu,Bertemu,Bahasa Nusantara,Medan,,Ertemu Bertemu
Mbalik,Kembali,Bahasa Nusantara,Medan,,Mbalik Kembali
Timpu,Waktu,Bahasa Nusantara,Medan,,Timpu Waktu
Ersabung,Berdebat,Bahasa Nusantara,Medan,,Ersabung Berdebat
Indu,Ibu,Bahasa Nusantara,Medan,,Indu Ibu
Perkuken,Masakan,Bahasa Nusantara,Medan,,Perkuken Masakan
Tep-tepan,Bercermin,Bahasa Nusantara,Medan,,Tep-tepan Bercermin
Kereh,Pelan-pelan,Bahasa Nusantara,Medan,,Kereh Pelan-pelan
Suah,Sulit,Bahasa Nusantara,Medan,,Suah Sulit
Lupa,Lupa,Bahasa Nusantara,Medan,,Lupa Lupa
Tengah,Tengah,Bahasa Nusantara,Medan,,Tengah Tengah
Kesah,Hilang,Bahasa Nusantara,Medan,,Kesah Hilang
Dang,Tidak,Bahasa Nusantara,Medan,,Dang Tidak
Tuah,Tua,Bahasa Nusantara,Medan,,Tuah Tua
Kempu,Tepat,Bahasa Nusantara,Medan,,Kempu Tepat
Gendang,Gendang,Bahasa Nusantara,Medan,,Gendang Gendang
Erah,Dekat,Bahasa Nusantara,Medan,,Erah Dekat
Kuli,Tenaga kerja,Bahasa Nusantara,Medan,,Kuli Tenaga kerja
Agia,Bagaimana,Bahasa Nusantara,Medan,,Agia Bagaimana
Mbelin,Beli,Bahasa Nusantara,Medan,,Mbelin Beli
Ngembah,Mengambil,Bahasa Nusantara,Medan,,Ngembah Mengambil
Endang,Tidak lagi,Bahasa Nusantara,Medan,,Endang Tidak lagi
Turisen,Susah,Bahasa Nusantara,Medan,,Turisen Susah
Tereh,Cepat,Bahasa Nusantara,Medan,,Tereh Cepat
Ertua,Bertua,Bahasa Nusantara,Medan,,Ertua Bertua
Tani,Pertanian,Bahasa Nusantara,Medan,,Tani Pertanian
Mateh,Mati,Bahasa Nusantara,Medan,,Mateh Mati
Jibin,Rambut,Bahasa Nusantara,Medan,,Jibin Rambut
Tua-tua,Orang tua,Bahasa Nusantara,Medan,,Tua-tua Orang tua
Perbibin,Gadis,Bahasa Nusantara,Medan,,Perbibin Gadis
Bibi,Bibi,Bahasa Nusantara,Medan,,Bibi Bibi
Perang-perang,Bermusuhan,Bahasa Nusantara,Medan,,Perang-perang Bermusuhan
Sipata,Peduli,Bahasa Nusantara,Medan,,Sipata Peduli
Erangkai,Merangkai,Bahasa Nusantara,Medan,,Erangkai Merangkai
Erbahan,Berdamai,Bahasa Nusantara,Medan,,Erbahan Berdamai
Sebah,Membuang,Bahasa Nusantara,Medan,,Sebah Membuang
Mbiring,Berpindah,Bahasa Nusantara,Medan,,Mbiring Berpindah
Iting,Hitam,Bahasa Nusantara,Medan,,Iting Hitam
Mbelgah,Berpikir,Bahasa Nusantara,Medan,,Mbelgah Berpikir
Rungu,Pendengaran,Bahasa Nusantara,Medan,,Rungu Pendengaran
Sembiring,Marga Sembiring,Bahasa Nusantara,Medan,,Sembiring Marga Sembiring
Kincir,Roda,Bahasa Nusantara,Medan,,Kincir Roda
Lauh,Dingin,Bahasa Nusantara,Medan,,Lauh Dingin
La,Tidak,Bahasa Nusantara,Medan,,La Tidak
Karo-karo,Marga Karo-karo,Bahasa Nusantara,Medan,,Karo-karo Marga Karo-karo
Pemenang,Pemenang,Bahasa Nusantara,Medan,,Pemenang Pemenang
Patik,Kebiasaan,Bahasa Nusantara,Medan,,Patik Kebiasaan
Ujan,Hujan,Bahasa Nusantara,Medan,,Ujan Hujan
Manang,Atau,Bahasa Nusantara,Medan,,Manang Atau
Padi,Padi,Bahasa Nusantara,Medan,,Padi Padi
Ergunung,Bergunung,Bahasa Nusantara,Medan,,Ergunung Bergunung
Gajah,Gajah,Bahasa Nusantara,Medan,,Gajah Gajah
Sebentar,Sebentar,Bahasa Nusantara,Medan,,Sebentar Sebentar
Ulu,Kepala,Bahasa Nusantara,Medan,,Ulu Kepala
Labu,Labu,Bahasa Nusantara,Medan,,Labu Labu
Perapul,Penyakit,Bahasa Nusantara,Medan,,Perapul Penyakit
Liseh,Lembut,Bahasa Nusantara,Medan,,Liseh Lembut
Cahaya,Cahaya,Bahasa Nusantara,Medan,,Cahaya Cahaya
Banua,Rumah,Bahasa Nusantara,Medan,,Banua Rumah
Erikan,Menyerahkan,Bahasa Nusantara,Medan,,Erikan Menyerahkan
Lidah,Lidah,Bahasa Nusantara,Medan,,Lidah Lidah
Emaka,Muda,Bahasa Nusantara,Medan,,Emaka Muda
Ujung,Ujung,Bahasa Nusantara,Medan,,Ujung Ujung
Denggel,Dalam,Bahasa Nusantara,Medan,,Denggel Dalam
Erkitik,Mengkritik,Bahasa Nusantara,Medan,,Erkitik Mengkritik
Toga,Toga,Bahasa Nusantara,Medan,,Toga Toga
Buku,Buku,Bahasa Nusantara,Medan,,Buku Buku
Sibayak,Gunung Sibayak,Bahasa Nusantara,Medan,,Sibayak Gunung Sibayak
Turis-turis,Turis,Bahasa Nusantara,Medan,,Turis-turis Turis
Ernawar,Berdoa,Bahasa Nusantara,Medan,,Ernawar Berdoa
Kamai,Kami,Bahasa Nusantara,Medan,,Kamai Kami
Kerina,Semuanya,Bahasa Nusantara,Medan,,Kerina Semuanya
Ersidang,Duduk bersama,Bahasa Nusantara,Medan,,Ersidang Duduk bersama
Ertimbul,Muncul,Bahasa Nusantara,Medan,,Ertimbul Muncul
Tangis,Menangis,Bahasa Nusantara,Medan,,Tangis Menangis
Erluang,Kesempatan,Bahasa Nusantara,Medan,,Erluang Kesempatan
Bibit,Bibit,Bahasa Nusantara,Medan,,Bibit Bibit
Kalak-kalak,Banyak orang,Bahasa Nusantara,Medan,,Kalak-kalak Banyak orang
Perkeleng,Kepercayaan,Bahasa Nusantara,Medan,,Perkeleng Kepercayaan
Sangap,Hormat,Bahasa Nusantara,Medan,,Sangap Hormat
Ersiur,Tersiar,Bahasa Nusantara,Medan,,Ersiur Tersiar
Turangku,Saudaraku,Bahasa Nusantara,Medan,,Turangku Saudaraku
Erbagi,Membagi,Bahasa Nusantara,Medan,,Erbagi Membagi
Entaben,Tenang,Bahasa Nusantara,Medan,,Entaben Tenang
Kerangen,Kekurangan,Bahasa Nusantara,Medan,,Kerangen Kekurangan
Terem-terem,Bersih,Bahasa Nusantara,Medan,,Terem-terem Bersih
Mulih,Pulang,Bahasa Nusantara,Medan,,Mulih Pulang
Canggel,Sulit,Bahasa Nusantara,Medan,,Canggel Sulit
Erbagi,Berbagi,Bahasa Nusantara,Medan,,Erbagi Berbagi
Leher,Leher,Bahasa Nusantara,Medan,,Leher Leher
Sadap,Enak,Bahasa Nusantara,Medan,,Sadap Enak
Rugih,Rugi,Bahasa Nusantara,Medan,,Rugih Rugi
Empang,Kolam,Bahasa Nusantara,Medan,,Empang Kolam
Sinabung,Gunung Sinabung,Bahasa Nusantara,Medan,,Sinabung Gunung Sinabung
Nasi,Nasi,Bahasa Nusantara,Medan,,Nasi Nasi
Guro,Guru,Bahasa Nusantara,Medan,,Guro Guru
Pelawi,Bukit,Bahasa Nusantara,Medan,,Pelawi Bukit
Ermatang,Terluka,Bahasa Nusantara,Medan,,Ermatang Terluka
Alas,Alas,Bahasa Nusantara,Medan,,Alas Alas
Buah,Buah,Bahasa Nusantara,Medan,,Buah Buah
Erpakai,Terpakai,Bahasa Nusantara,Medan,,Erpakai Terpakai
Tiar,Mati,Bahasa Nusantara,Medan,,Tiar Mati
Siang,Siang,Bahasa Nusantara,Medan,,Siang Siang
Kuduk,Punggung leher,Bahasa Nusantara,Medan,,Kuduk Punggung leher
Rangkuh,Pelukan,Bahasa Nusantara,Medan,,Rangkuh Pelukan
Erekan,Rekan,Bahasa Nusantara,Medan,,Erekan Rekan
Roti,Roti,Bahasa Nusantara,Medan,,Roti Roti
Labar,Lapang,Bahasa Nusantara,Medan,,Labar Lapang
Eribun,Berseru,Bahasa Nusantara,Medan,,Eribun Berseru
Kampung,Kampung,Bahasa Nusantara,Medan,,Kampung Kampung
Tumpuk,Tumpukan,Bahasa Nusantara,Medan,,Tumpuk Tumpukan
Ciduk,Gayung,Bahasa Nusantara,Medan,,Ciduk Gayung
Angkat,Angkat,Bahasa Nusantara,Medan,,Angkat Angkat
Tamba,Tambah,Bahasa Nusantara,Medan,,Tamba Tambah
Jelma,Manusia,Bahasa Nusantara,Medan,,Jelma Manusia
Berendi,Berlari,Bahasa Nusantara,Medan,,Berendi Berlari
Erat,Kuat,Bahasa Nusantara,Medan,,Erat Kuat
Kajang,Atap,Bahasa Nusantara,Medan,,Kajang Atap
Terbit,Terbit,Bahasa Nusantara,Medan,,Terbit Terbit
Gugur,Jatuh,Bahasa Nusantara,Medan,,Gugur Jatuh
Lurang,Licin,Bahasa Nusantara,Medan,,Lurang Licin
Peruman,Perumahan,Bahasa Nusantara,Medan,,Peruman Perumahan
Ersalin,Berubah,Bahasa Nusantara,Medan,,Ersalin Berubah
Rakut,Ikat,Bahasa Nusantara,Medan,,Rakut Ikat
Dage,Tidak enak,Bahasa Nusantara,Medan,,Dage Tidak enak
Sendalan,Penunjuk arah,Bahasa Nusantara,Medan,,Sendalan Penunjuk arah
Langka,Langka,Bahasa Nusantara,Medan,,Langka Langka
Jendela,Jendela,Bahasa Nusantara,Medan,,Jendela Jendela
Erbinah,Merah muda,Bahasa Nusantara,Medan,,Erbinah Merah muda
Losa,Lama,Bahasa Nusantara,Medan,,Losa Lama
Tekes,Tegas,Bahasa Nusantara,Medan,,Tekes Tegas
Peceren,Air mancur,Bahasa Nusantara,Medan,,Peceren Air mancur
Tugu,Tugu,Bahasa Nusantara,Medan,,Tugu Tugu
Lau,Laut,Bahasa Nusantara,Medan,,Lau Laut
Mes,Tempat ibadah,Bahasa Nusantara,Medan,,Mes Tempat ibadah
Kede,Toko,Bahasa Nusantara,Medan,,Kede Toko
Naha enggak?,Apa kabar?,Bahasa Nusantara,Medan,,Naha enggak? Apa kabar?
Dungi,Ada,Bahasa Nusantara,Medan,,Dungi Ada
"Mejuah-juah, kam sehat?","Salam, kamu sehat?",Bahasa Nusantara,Medan,,"Mejuah-juah, kam sehat? Salam, kamu sehat?"
"Naha enggak, kam pulang dari mana?","Apa kabar, kamu pulang dari mana?",Bahasa Nusantara,Medan,,"Naha enggak, kam pulang dari mana? Apa kabar, kamu pulang dari mana?"
Terem aku jumpa kam!,Senang aku bertemu kamu!,Bahasa Nusantara,Medan,,Terem aku jumpa kam! Senang aku bertemu kamu!
"La adong apa-apa, tenang saja.","Tidak ada apa-apa, tenang saja.",Bahasa Nusantara,Medan,,"La adong apa-apa, tenang saja. Tidak ada apa-apa, tenang saja."
"Tedeh nari, bage si diberiki.","Terima kasih, begini cara memberinya.",Bahasa Nusantara,Medan,,"Tedeh nari, bage si diberiki. Terima kasih, begini cara memberinya."
Sude kalak erdilo.,Semua orang melihat.,Bahasa Nusantara,Medan,,Sude kalak erdilo. Semua orang melihat.
Ibas tenda man.,"Di dalam tenda, ya.",Bahasa Nusantara,Medan,,"Ibas tenda man. Di dalam tenda, ya."
Piga kai nakanmu?,Berapa harga makananmu?,Bahasa Nusantara,Medan,,Piga kai nakanmu? Berapa harga makananmu?
